Date,Open,High,Low,Close,Adj Close,Volume
2020-07-15,150.10000610351562,153.85000610351562,147.0,147.75,147.65199279785156,2180415
2020-07-16,148.10000610351562,150.0,145.1999969482422,148.89999389648438,148.8012237548828,1473784
2020-07-17,149.75,153.89999389648438,149.0,151.60000610351562,151.49945068359375,2222846
2020-07-20,153.14999389648438,161.89999389648438,152.10000610351562,160.6999969482422,160.59339904785156,6329853
2020-07-21,161.4499969482422,168.10000610351562,159.10000610351562,167.3000030517578,167.18902587890625,6517373
2020-07-22,167.0,172.0,162.0,169.39999389648438,169.28762817382812,4611051
2020-07-23,168.35000610351562,170.6999969482422,165.39999389648438,169.9499969482422,169.83726501464844,2199241
2020-07-24,167.39999389648438,169.75,163.64999389648438,168.75,168.6380615234375,1801357
2020-07-27,168.64999389648438,169.0500030517578,163.0,165.9499969482422,165.8399200439453,1156539
2020-07-28,166.3000030517578,174.89999389648438,163.8000030517578,173.5500030517578,173.43487548828125,4829045
2020-07-29,174.0,190.85000610351562,172.0500030517578,179.10000610351562,178.981201171875,15392378
2020-07-30,179.1999969482422,181.35000610351562,173.25,175.0500030517578,174.9338836669922,3403335
2020-07-31,174.0,178.64999389648438,172.10000610351562,175.25,175.1337432861328,2644457
